epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1761.26,0.59262,3.14044,1.24098,0,0,0,0,0,0,0,0.00333157,0.00333157,0.0700159
2,3497.74,0.56215,1.71169,1.19946,0,0,0,0,0,0,0,0.00633499,0.00633499,0.039686
3,5226.46,0.5823,1.42747,1.20485,0,0,0,0,0,0,0,0.00900841,0.00900841,0.00902606
4,6952.82,0.5801,1.30033,1.20217,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
5,8680.72,0.55077,1.14623,1.17976,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
6,10407.2,0.52747,1.04644,1.1662,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
7,12132.2,0.50784,0.97674,1.1507,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
8,13864,0.49043,0.91699,1.14115,0,0,0,0,0,0,0,0.006535,0.006535,0.006535
9,15588.1,0.48205,0.87436,1.13561,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
10,17313.4,0.46876,0.8396,1.12492,0,0,0,0,0,0,0,0.005545,0.005545,0.005545
11,19039.4,0.45947,0.80107,1.12079,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
12,20775.2,0.44914,0.77209,1.1134,0,0,0,0,0,0,0,0.004555,0.004555,0.004555
13,22819.2,0.43676,0.74328,1.10674,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
14,24547.2,0.43248,0.7227,1.10322,0,0,0,0,0,0,0,0.003565,0.003565,0.003565
15,26272.2,0.4216,0.70001,1.09991,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
16,28001.6,0.41379,0.68119,1.0925,0,0,0,0,0,0,0,0.002575,0.002575,0.002575
17,29761,0.40462,0.65747,1.08775,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
18,31491.1,0.39456,0.63155,1.08111,0,0,0,0,0,0,0,0.001585,0.001585,0.001585
19,33220.2,0.38686,0.60838,1.077,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
20,35026.3,0.37864,0.58842,1.07121,0.88686,0.90843,0.91338,0.87596,0.31373,0.46692,0.88803,0.000595,0.000595,0.000595
