epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,935.845,0.61696,1.20569,1.29875,0.88825,0.90625,0.91574,0.87982,0.30209,0.4495,0.8804,7.39608e-05,7.39608e-05,7.39608e-05
2,1833.99,0.57215,1.12536,1.24227,0.89932,0.89668,0.91266,0.87389,0.31309,0.45867,0.88667,0.000138195,0.000138195,0.000138195
3,2714.88,0.56569,1.09606,1.2326,0.89225,0.89385,0.91303,0.87328,0.30252,0.451,0.87935,0.000192662,0.000192662,0.000192662
4,3594.5,0.55289,1.07148,1.22444,0.90111,0.89626,0.91591,0.8765,0.30574,0.44659,0.88358,0.000178044,0.000178044,0.000178044
5,4474.93,0.54629,1.0427,1.21593,0.89979,0.89624,0.91428,0.87623,0.30639,0.45313,0.88053,0.000163392,0.000163392,0.000163392
6,5356.4,0.26902,0.38961,1.02252,0.89845,0.9023,0.91524,0.88149,0.29452,0.43503,0.86661,0.00014874,0.00014874,0.00014874
7,6220.08,0.25848,0.36239,1.01418,0.89398,0.90394,0.91642,0.88143,0.29349,0.43929,0.86605,0.000134088,0.000134088,0.000134088
8,7082.98,0.25359,0.35245,1.00768,0.90376,0.89727,0.91852,0.88626,0.2847,0.42038,0.85677,0.000119436,0.000119436,0.000119436
9,7947.31,0.24843,0.34232,1.00258,0.90295,0.90527,0.91807,0.88688,0.28169,0.42139,0.85169,0.000104784,0.000104784,0.000104784
10,8813.14,0.24735,0.33656,1.00485,0.88934,0.91152,0.9171,0.88627,0.28037,0.4228,0.8516,9.0132e-05,9.0132e-05,9.0132e-05
11,9676.95,0.24234,0.32886,0.99674,0.90404,0.90771,0.91723,0.88521,0.27831,0.42116,0.84859,7.548e-05,7.548e-05,7.548e-05
12,10542.9,0.23901,0.32526,0.99408,0.89855,0.90679,0.91843,0.88731,0.27656,0.42031,0.8483,6.0828e-05,6.0828e-05,6.0828e-05
13,11409.9,0.23545,0.3159,0.99188,0.8997,0.90837,0.91781,0.88788,0.27684,0.4163,0.848,4.6176e-05,4.6176e-05,4.6176e-05
14,12276.7,0.23307,0.3123,0.99032,0.90435,0.90114,0.91891,0.88865,0.27438,0.41418,0.8437,3.1524e-05,3.1524e-05,3.1524e-05
15,13148,0.23158,0.30914,0.98956,0.89324,0.91039,0.9196,0.89031,0.27406,0.41509,0.84443,1.6872e-05,1.6872e-05,1.6872e-05
