epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1956.69,0.56742,3.18425,1.22726,0.61646,0.6861,0.68786,0.61134,0.49283,2.41593,1.14232,0.00333157,0.00333157,0.0700159
2,3879.91,0.55407,1.64425,1.19445,0.65345,0.74146,0.74261,0.65647,0.55203,1.84293,1.18385,0.00633499,0.00633499,0.039686
3,5789.21,0.57739,1.41301,1.20521,0.67514,0.70839,0.74283,0.66207,0.54123,1.49458,1.17634,0.00900841,0.00900841,0.00902606
4,7697.28,0.57796,1.28602,1.20481,0.77901,0.8185,0.83552,0.76393,0.47925,0.98305,1.08758,0.008515,0.008515,0.008515
5,9601.23,0.54539,1.11996,1.17919,0.78441,0.87005,0.8575,0.79062,0.44872,0.80644,1.04419,0.00802,0.00802,0.00802
6,11507.2,0.52252,1.01668,1.16366,0.80508,0.88092,0.86879,0.81138,0.40692,0.69704,1.00333,0.007525,0.007525,0.007525
7,13414.1,0.50398,0.94133,1.14949,0.84299,0.88768,0.88204,0.82919,0.39775,0.61567,0.99912,0.00703,0.00703,0.00703
8,15320.2,0.48763,0.88049,1.14005,0.86298,0.87565,0.88812,0.83261,0.37892,0.58795,0.9751,0.006535,0.006535,0.006535
9,17223,0.47798,0.84016,1.1326,0.87148,0.88039,0.8913,0.83697,0.37758,0.58052,0.96772,0.00604,0.00604,0.00604
10,19126.7,0.46463,0.8024,1.12381,0.87218,0.89078,0.89882,0.85263,0.35152,0.53085,0.93488,0.005545,0.005545,0.005545
11,21029.3,0.35426,0.66073,1.09153,0.87924,0.88195,0.90487,0.8666,0.32461,0.51453,0.9105,0.00505,0.00505,0.00505
12,22920.6,0.32972,0.60387,1.06931,0.87286,0.89395,0.90283,0.86661,0.30461,0.486,0.87991,0.004555,0.004555,0.004555
13,1782.04,0.45193,0.76061,1.11636,0.87881,0.90513,0.91047,0.87473,0.30251,0.46341,0.87207,0.00406,0.00406,0.00406
14,3534.6,0.43748,0.71118,1.10739,0.88264,0.90273,0.90976,0.87321,0.3035,0.45701,0.8782,0.003565,0.003565,0.003565
15,5285.26,0.42501,0.67738,1.09779,0.89057,0.90338,0.91414,0.87707,0.30237,0.44087,0.87642,0.00307,0.00307,0.00307
16,7036.42,0.4096,0.64341,1.08975,0.90236,0.89526,0.91499,0.87973,0.29224,0.43764,0.86531,0.002575,0.002575,0.002575
17,8789.03,0.40366,0.6194,1.08483,0.9066,0.90083,0.91666,0.88376,0.29405,0.43489,0.86639,0.00208,0.00208,0.00208
18,10540.2,0.39496,0.59764,1.08064,0.90036,0.89954,0.91607,0.88352,0.28939,0.43122,0.86217,0.001585,0.001585,0.001585
19,12295.1,0.38236,0.57276,1.07086,0.89354,0.90794,0.91701,0.88544,0.28661,0.4284,0.85968,0.00109,0.00109,0.00109
20,14045.2,0.37339,0.54574,1.06807,0.89496,0.90823,0.91716,0.8854,0.29051,0.42851,0.86182,0.000595,0.000595,0.000595
