epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2652.92,0.51691,4.93251,0.01201,0.42684,0.33626,0.31925,0.29799,0.41941,5.46195,0.01615,0.00333157,0.00333157,0.0700159
2,5304.32,0.57189,2.66326,0.01332,0.58078,0.62712,0.66268,0.61237,0.45358,3.00628,0.01759,0.00633499,0.00633499,0.039686
3,7936.72,0.61994,1.87057,0.0144,0.69724,0.74146,0.78271,0.72161,0.47875,1.76256,0.01857,0.00900841,0.00900841,0.00902606
4,10569.4,0.63685,1.48298,0.01473,0.76838,0.83681,0.84397,0.79005,0.42276,1.04217,0.01588,0.008515,0.008515,0.008515
5,13198.3,0.61184,1.24161,0.01391,0.78763,0.84029,0.85398,0.80153,0.42872,0.84348,0.01565,0.00802,0.00802,0.00802
6,15790.2,0.60608,1.11341,0.01365,0.8052,0.87322,0.87437,0.81762,0.4247,0.64982,0.01569,0.007525,0.007525,0.007525
7,18406.3,0.5889,1.02026,0.0131,0.82597,0.86231,0.88029,0.83954,0.36539,0.58086,0.0133,0.00703,0.00703,0.00703
8,21016.7,0.57449,0.96267,0.01272,0.87611,0.86022,0.89131,0.84703,0.36121,0.51719,0.01316,0.006535,0.006535,0.006535
9,23613.5,0.56652,0.90412,0.01247,0.86067,0.89444,0.90079,0.86399,0.32011,0.45848,0.0115,0.00604,0.00604,0.00604
10,26198.8,0.54842,0.85983,0.01203,0.87843,0.88783,0.90203,0.86943,0.3108,0.42912,0.01093,0.005545,0.005545,0.005545
11,28728.7,0.46468,0.63431,0.01467,0.88333,0.89239,0.90981,0.87792,0.29082,0.40302,0.01017,0.00505,0.00505,0.00505
12,31284.9,0.42856,0.58236,0.01295,0.88552,0.88928,0.90713,0.87454,0.29919,0.40544,0.01049,0.004555,0.004555,0.004555
13,33821.6,0.41021,0.5426,0.01211,0.88555,0.89892,0.9131,0.88207,0.27684,0.38886,0.00962,0.00406,0.00406,0.00406
14,36352.6,0.38618,0.50265,0.01125,0.90527,0.89425,0.9169,0.88673,0.26755,0.37356,0.00921,0.003565,0.003565,0.003565
15,38892.7,0.36481,0.46983,0.01042,0.89341,0.90595,0.91704,0.88936,0.26495,0.36723,0.00915,0.00307,0.00307,0.00307
16,41468.2,0.34531,0.42802,0.00972,0.90688,0.89708,0.91735,0.89275,0.25217,0.36387,0.00866,0.002575,0.002575,0.002575
17,44038.1,0.33043,0.40034,0.00918,0.90567,0.90178,0.91763,0.89235,0.24919,0.37104,0.00852,0.00208,0.00208,0.00208
18,46585.5,0.31255,0.36913,0.00852,0.91082,0.89143,0.91591,0.8913,0.24269,0.37736,0.00828,0.001585,0.001585,0.001585
19,49128.3,0.30049,0.34366,0.00807,0.89442,0.91038,0.91766,0.89302,0.24415,0.37954,0.00833,0.00109,0.00109,0.00109
20,51665,0.28786,0.33221,0.00768,0.90425,0.90427,0.91501,0.89079,0.24336,0.38895,0.00831,0.000595,0.000595,0.000595
